ticker,name,risk_tag,risk_tag_method,ann_vol,asset_group,sector_group,country_group,marcap_eok,first_date
069500,KODEX 200,G3,3.5y_daily_volatility (2022-06-01~2025-12-31),0.1984,EQUITY,SECTOR_OTHER,COUNTRY_KR,253159,2022-06-02
360750,TIGER 미국S&P500,G3,3.5y_daily_volatility (2022-06-01~2025-12-31),0.1638,EQUITY,SECTOR_OTHER,COUNTRY_US,209149,2022-06-02
133690,TIGER 미국나스닥100,G2,3.5y_daily_volatility (2022-06-01~2025-12-31),0.2116,EQUITY,SECTOR_OTHER,COUNTRY_US,118576,2022-06-02
379800,KODEX 미국S&P500,G3,3.5y_daily_volatility (2022-06-01~2025-12-31),0.1626,EQUITY,SECTOR_OTHER,COUNTRY_US,103804,2022-06-02
102110,TIGER 200,G3,3.5y_daily_volatility (2022-06-01~2025-12-31),0.1986,EQUITY,SECTOR_OTHER,COUNTRY_KR,101124,2022-06-02
396500,TIGER 반도체TOP10,G1,3.5y_daily_volatility (2022-06-01~2025-12-31),0.3248,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_KR,98272,2022-06-02
379810,KODEX 미국나스닥100,G2,3.5y_daily_volatility (2022-06-01~2025-12-31),0.2103,EQUITY,SECTOR_OTHER,COUNTRY_US,94300,2022-06-02
278530,KODEX 200TR,G3,3.5y_daily_volatility (2022-06-01~2025-12-31),0.1962,EQUITY,SECTOR_OTHER,COUNTRY_KR,76895,2022-06-02
381180,TIGER 미국필라델피아반도체나스닥,G1,3.5y_daily_volatility (2022-06-01~2025-12-31),0.3436,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_US,57281,2022-06-02
091160,KODEX 반도체,G1,3.5y_daily_volatility (2022-06-01~2025-12-31),0.3285,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_KR,56852,2022-06-02
229200,KODEX 코스닥150,G1,3.5y_daily_volatility (2022-06-01~2025-12-31),0.2915,EQUITY,SECTOR_OTHER,COUNTRY_KR,46254,2022-06-02
