ticker,name,sector,group_id,risk_tag,mdd_3y,volatility_1y,expense_ratio,listed_date,delisted_date,is_leveraged,active,country
069500,KODEX 200,기타,EQUITY,G3,-0.409289,0.606388,,2002-10-14,,false,true,한국
122630,KODEX 레버리지,기타,EQUITY,G1,-0.683703,1.208644,,2010-02-22,,true,true,한국
102110,TIGER 200,기타,EQUITY,G3,-0.407147,0.607428,,2008-04-03,,false,true,한국
360750,TIGER 미국S&P500,기타,EQUITY,G3,-0.193153,0.133886,,2020-08-07,,false,true,미국
114800,KODEX 인버스,기타,EQUITY,G1,-0.830952,0.604872,,2009-09-16,,true,true,한국
133690,TIGER 미국나스닥100,기타,EQUITY,G3,-0.242614,0.185787,,2010-10-18,,false,true,미국
459580,KODEX CD금리액티브(합성),기타,BOND,G6,-0.002477,0.007747,,2023-06-08,,false,true,한국
379810,KODEX 미국나스닥100,기타,EQUITY,G3,-0.242580,0.185954,,2021-04-09,,false,true,미국
252670,KODEX 200선물인버스2X,기타,EQUITY,G1,-0.980096,1.202103,,2016-09-22,,true,true,한국
379800,KODEX 미국S&P500,기타,EQUITY,G3,-0.191595,0.133611,,2021-04-09,,false,true,미국
233740,KODEX 코스닥150레버리지,기타,EQUITY,G1,-0.800774,1.093149,,2015-12-17,,true,true,한국
229200,KODEX 코스닥150,기타,EQUITY,G3,-0.497393,0.562823,,2015-10-01,,false,true,한국
396500,TIGER 반도체TOP10,반도체,EQUITY,G2,-0.525058,0.777048,,2021-08-10,,false,true,한국
0193T0,KODEX SK하이닉스단일종목레버리지,반도체,EQUITY,G1,-0.841023,2.358964,,2026-05-27,,true,true,한국
494310,KODEX 반도체레버리지,반도체,EQUITY,G1,-0.787003,1.453889,,2024-10-22,,true,true,한국
0167A0,SOL AI반도체TOP2플러스,반도체,EQUITY,G2,-0.561431,0.935481,,2026-03-17,,false,true,한국
091160,KODEX 반도체,반도체,EQUITY,G2,-0.502641,0.749998,,2006-06-27,,false,true,한국
488080,TIGER 반도체TOP10레버리지,반도체,EQUITY,G1,-0.794220,1.514841,,2024-07-23,,true,true,한국
232080,TIGER 코스닥150,기타,EQUITY,G3,-0.496864,0.553275,,2015-11-12,,false,true,한국
395160,KODEX AI반도체TOP2플러스,반도체,EQUITY,G2,-0.536508,0.783281,,2021-07-30,,false,true,한국
498400,KODEX 200타겟위클리커버드콜,기타,EQUITY,G3,-0.407381,0.557051,,2024-12-03,,false,true,한국
0197X0,SOL SK하이닉스선물단일종목인버스2X,반도체,EQUITY,G1,-0.733317,2.459834,,2026-05-27,,true,true,한국
0195S0,TIGER SK하이닉스단일종목레버리지,반도체,EQUITY,G1,-0.842063,2.397091,,2026-05-27,,true,true,한국
251340,KODEX 코스닥150선물인버스,기타,EQUITY,G1,-0.567865,0.575987,,2016-08-10,,true,true,한국
148020,RISE 200,기타,EQUITY,G3,-0.408708,0.605901,,2011-10-20,,false,true,한국
0193W0,KODEX 삼성전자단일종목레버리지,반도체,EQUITY,G1,-0.733599,1.980770,,2026-05-27,,true,true,한국
487240,KODEX AI전력핵심설비,기타,EQUITY,G2,-0.600377,0.729110,,2024-07-09,,false,true,한국
472150,TIGER 배당커버드콜액티브,기타,EQUITY,G3,-0.431450,0.575558,,2023-12-12,,false,true,한국
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,반도체,BOND,G4,-0.279185,0.498135,,2026-02-26,,false,true,한국
462330,KODEX 2차전지산업레버리지,2차전지,EQUITY,G1,-0.924242,1.198940,,2023-07-04,,true,true,한국
475630,TIGER CD1년금리액티브(합성),기타,BOND,G6,-0.005559,0.005938,,2024-02-06,,false,true,한국
381180,TIGER 미국필라델피아반도체나스닥,반도체,EQUITY,G2,-0.400698,0.425092,,2021-04-09,,false,true,미국
0195R0,TIGER 삼성전자단일종목레버리지,반도체,EQUITY,G1,-0.736097,1.984015,,2026-05-27,,true,true,한국
488770,KODEX 머니마켓액티브,기타,BOND,G6,-0.014128,0.014616,,2024-08-06,,false,true,한국
395270,HANARO Fn K-반도체,반도체,EQUITY,G2,-0.534998,0.766267,,2021-07-30,,false,true,한국
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,반도체,BOND,G4,-0.280303,0.514372,,2026-04-07,,false,true,한국
305720,KODEX 2차전지산업,2차전지,EQUITY,G2,-0.665804,0.601827,,2018-09-12,,false,true,한국
0091P0,TIGER 코리아원자력,기타,EQUITY,G2,-0.567099,0.694190,,2025-08-19,,false,true,한국
442580,PLUS 글로벌HBM반도체,반도체,EQUITY,G2,-0.465622,0.726685,,2022-09-22,,false,true,기타
139260,TIGER 200 IT,반도체,EQUITY,G2,-0.525409,0.754935,,2011-04-06,,false,true,한국
152100,PLUS 200,기타,EQUITY,G3,-0.407702,0.597077,,2012-01-10,,false,true,한국
0219E0,KODEX 200커버드콜액티브,기타,EQUITY,G3,-0.276205,0.836424,,2026-07-14,,false,true,한국
243880,TIGER 200IT레버리지,반도체,EQUITY,G1,-0.800000,1.499381,,2016-05-13,,true,true,한국
278530,KODEX 200TR,기타,EQUITY,G3,-0.406241,0.596145,,2017-11-21,,false,true,한국
228790,TIGER 화장품,소비재,EQUITY,G2,-0.334740,0.408281,,2015-10-07,,false,true,한국
455850,SOL AI반도체소부장,반도체,EQUITY,G2,-0.528801,0.757519,,2023-04-25,,false,true,한국
0148J0,TIGER 코리아휴머노이드로봇산업,기타,EQUITY,G2,-0.572043,0.852136,,2026-01-06,,false,true,한국
0008T0,SOL 화장품TOP3플러스,소비재,EQUITY,G2,-0.268611,0.437269,,2025-01-21,,false,true,한국
226490,KODEX 코스피,기타,EQUITY,G3,-0.386492,0.542997,,2015-08-24,,false,true,한국
364980,TIGER 2차전지TOP10,2차전지,EQUITY,G2,-0.660278,0.596395,,2020-10-07,,false,true,한국
426030,TIME 미국나스닥100액티브,기타,EQUITY,G3,-0.350429,0.431733,,2022-05-11,,false,true,미국
481050,KODEX CD1년금리플러스액티브(합성),기타,BOND,G6,-0.002963,0.008095,,2024-04-23,,false,true,한국
390390,KODEX 미국반도체,반도체,EQUITY,G2,-0.369837,0.371321,,2021-06-30,,false,true,미국
458730,TIGER 미국배당다우존스,기타,EQUITY,G3,-0.141288,0.125036,,2023-06-20,,false,true,미국
0117V0,TIGER 코리아AI전력기기TOP3플러스,기타,EQUITY,G2,-0.594503,0.757314,,2025-10-21,,false,true,한국
411060,ACE KRX금현물,기타,COMMODITY,G2,-0.320929,0.343887,,2021-12-15,,false,true,기타
466920,SOL 조선TOP3플러스,기타,EQUITY,G2,-0.398819,0.540731,,2023-10-05,,false,true,한국
471990,KODEX AI반도체핵심장비,반도체,EQUITY,G2,-0.549689,0.771407,,2023-11-21,,false,true,한국
469150,ACE AI반도체TOP3+,반도체,EQUITY,G2,-0.491849,0.776144,,2023-10-17,,false,true,한국
486290,TIGER 미국나스닥100타겟데일리커버드콜,기타,EQUITY,G3,-0.280073,0.191609,,2024-06-25,,false,true,미국
248260,TIGER 일본TOPIX헬스케어(합성),바이오와헬스케어,EQUITY,G2,,,,2016-07-01,2022-12-20,false,false,기타
098560,TIGER 방송통신,기타,EQUITY,G2,,,,2007-09-07,2025-12-03,false,false,한국
301410,PLUS 코스닥150선물인버스,기타,EQUITY,G1,,,,2018-07-11,2026-06-24,true,false,한국
148070,KIWOOM 국고채10년,기타,BOND,G5,-0.145010,0.069604,,2011-10-20,,false,true,한국
114260,KODEX 국고채3년,기타,BOND,G5,-0.033795,0.027410,,2009-07-29,,false,true,한국
273130,KODEX 종합채권(AA-이상)액티브,기타,BOND,G5,-0.090150,0.043000,,2017-06-29,,false,true,한국
438330,TIGER 우량회사채액티브,기타,BOND,G5,-0.033052,0.027853,,2022-08-23,,false,true,한국
305080,TIGER 미국채10년선물,기타,BOND,G5,-0.158872,0.098332,,2018-08-30,,false,true,미국
464470,PLUS 미국채30년액티브,기타,BOND,G4,-0.198009,0.129813,,2023-08-22,,false,true,미국
132030,KODEX 골드선물(H),기타,COMMODITY,G2,-0.304903,0.323719,,2010-10-01,,false,true,기타
0072R0,TIGER KRX금현물,기타,COMMODITY,G2,-0.318320,0.337525,,2025-06-24,,false,true,기타
