ticker,name,last_trade_date
098560,TIGER 방송통신,2025-12-03
139310,TIGER 금속선물(H),2025-08-01
292730,FOCUS KRX300,2025-10-28
301410,PLUS 코스닥150선물인버스,2026-06-24
346000,HANARO KAP초장기국고채,2025-11-04
373530,PLUS 신흥국MSCI인버스(합성 H),2025-12-18
390950,HANARO 단기채권액티브,2025-03-25
394350,KIWOOM 글로벌퓨처모빌리티,2026-03-25
397410,RISE 국채선물5년추종인버스,2025-05-21
397420,RISE 국채선물5년추종,2026-08-19
407160,KCGI 테크미디어텔레콤액티브,2025-09-17
407170,KCGI 스마트커머스액티브,2025-09-17
411050,ACE 글로벌메타버스테크액티브,2025-08-14
411720,RISE 글로벌메타버스,2025-01-21
419170,HANARO 미국메타버스iSelect,2025-06-23
422260,VITA MZ소비액티브,2026-06-24
424460,HANARO 글로벌워터MSCI(합성),2026-07-15
426330,KIWOOM 미국ETF산업STOXX,2026-03-25
426410,PLUS 미국대체투자Top10,2025-02-19
427110,RISE 창업투자회사,2025-01-21
429870,KIWOOM 리츠이지스액티브,2025-06-02
429990,SOL 한국형글로벌플랫폼&메타버스액티브,2025-01-16
432850,HANARO 글로벌백신치료제MSCI,2025-06-23
433850,PLUS TDF2030액티브,2025-07-15
433860,PLUS TDF2040액티브,2025-08-20
433870,PLUS TDF2050액티브,2025-09-17
437550,KIWOOM 글로벌리츠이지스액티브,2025-06-02
438210,PLUS 글로벌AI,2025-04-23
441330,KIWOOM 차이나A50커넥트MSCI,2026-03-25
448510,HANARO 글로벌신재생에너지MSCI(합성),2025-03-25
448600,RISE 25-11 회사채(AA-이상)액티브,2025-11-20
450120,KIWOOM SK그룹대표주,2025-06-02
