ticker,name,risk_tag,risk_tag_method,ann_vol,asset_group,sector_group,country_group,marcap_eok,first_date
069500,KODEX 200,G1,3y_daily_volatility,0.3813,EQUITY,SECTOR_OTHER,COUNTRY_KR,252836,2023-08-14
360750,TIGER 미국S&P500,G3,3y_daily_volatility,0.1558,EQUITY,SECTOR_OTHER,COUNTRY_US,201256,2023-08-14
133690,TIGER 미국나스닥100,G2,3y_daily_volatility,0.2047,EQUITY,SECTOR_OTHER,COUNTRY_US,113399,2023-08-14
102110,TIGER 200,G1,3y_daily_volatility,0.3821,EQUITY,SECTOR_OTHER,COUNTRY_KR,101340,2023-08-14
379800,KODEX 미국S&P500,G3,3y_daily_volatility,0.1552,EQUITY,SECTOR_OTHER,COUNTRY_US,99898,2023-08-14
396500,TIGER 반도체TOP10,G1,3y_daily_volatility,0.5225,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_OTHER,97471,2023-08-14
379810,KODEX 미국나스닥100,G2,3y_daily_volatility,0.2031,EQUITY,SECTOR_OTHER,COUNTRY_US,90090,2023-08-14
278530,KODEX 200TR,G1,3y_daily_volatility,0.3751,EQUITY,SECTOR_OTHER,COUNTRY_KR,77060,2023-08-14
459580,KODEX CD금리액티브(합성),G6,3y_daily_volatility,0.0013,BOND,SECTOR_OTHER,COUNTRY_KR,68804,2023-08-14
091160,KODEX 반도체,G1,3y_daily_volatility,0.5052,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_OTHER,55620,2023-08-14
381180,TIGER 미국필라델피아반도체나스닥,G1,3y_daily_volatility,0.3883,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_US,55617,2023-08-14
229200,KODEX 코스닥150,G1,3y_daily_volatility,0.3988,EQUITY,SECTOR_OTHER,COUNTRY_KR,47520,2023-08-14
310970,TIGER MSCI Korea TR,G1,3y_daily_volatility,0.3892,EQUITY,SECTOR_OTHER,COUNTRY_OTHER,45217,2023-08-14
148020,RISE 200,G1,3y_daily_volatility,0.3812,EQUITY,SECTOR_OTHER,COUNTRY_KR,44520,2023-08-14
458730,TIGER 미국배당다우존스,G4,3y_daily_volatility,0.1408,EQUITY,SECTOR_OTHER,COUNTRY_US,42159,2023-08-14
395160,KODEX AI반도체TOP2플러스,G1,3y_daily_volatility,0.518,EQUITY,SECTOR_SEMICONDUCTOR,COUNTRY_OTHER,40130,2023-08-14
411060,ACE KRX금현물,G1,3y_daily_volatility,0.2504,COMMODITY,SECTOR_OTHER,COUNTRY_OTHER,39523,2023-08-14
360200,ACE 미국S&P500,G3,3y_daily_volatility,0.1526,EQUITY,SECTOR_OTHER,COUNTRY_US,38745,2023-08-14
381170,TIGER 미국테크TOP10 INDXX,G2,3y_daily_volatility,0.2492,EQUITY,SECTOR_INTERNET_PLATFORM,COUNTRY_US,37136,2023-08-14
